小区,区域,商圈,在售,在租,建成时间,均价(元/平米),均价环比上月(%)
梅陇三村,徐汇,华东理工,71,148,1993,"
58351","
3.55%"
天平小区,徐汇,衡山路,71,40,1994,"
107166","
1.69%"
西樱花园,徐汇,康健,71,20,1992,"
65966","
0.26%"
龙南六村,徐汇,徐汇滨江,69,6,1998,"
59199","
0.15%"
钦州路111弄小区,徐汇,康健,69,35,2004,"
76709","
1.02%"
岳阳路77弄小区,徐汇,建国西路,69,14,1980,"
114618","
2.32%"
中恒苑,徐汇,长桥,69,46,1999,"
58130","
3.76%"
尊园,徐汇,徐家汇,69,106,2003,"
98880","
3.12%"
桂林苑,徐汇,田林,68,17,1996,"
56856","
1.14%"
鑫国家园,徐汇,万体馆,68,18,2001,"
69061","
4.6%"
华富小区,徐汇,龙华,67,26,1994,"
70928","
1.01%"
牡丹园别墅,徐汇,康健,67,66,1998,"
96034","
2.70%"
尚都申峰大厦,徐汇,徐家汇,67,25,2005,"
57204","
4.4%"
中煌大厦写字楼,徐汇,万体馆,67,20,2004,"
22604","
2.86%"
长春小区,徐汇,徐家汇,65,8,1993,"
67508","
6.14%"
名仕苑,徐汇,徐家汇,65,84,2004,"
82375","
0.58%"
上海亚太企业大楼,徐汇,徐家汇,65,34,1996,"
19826","
1.7%"
狮城花苑,徐汇,龙华,65,22,1994,"
50750","
3.9%"
王家堂小区,徐汇,徐家汇,65,70,1996,"
67705","
4.77%"
宜德苑,徐汇,万体馆,65,54,2005,"
74727","
5.32%"
梅陇十村,徐汇,华东理工,64,25,1994,"
65406","
0.60%"
福苑小区,徐汇,田林,63,9,2000,"
53134","
1.79%"
麦克花园,徐汇,上海南站,63,9,1995,"
49490","
4.18%"
徐汇中凯城市之光,徐汇,徐家汇,63,13,2012,"
126449","
8.11%"
挹翠苑,徐汇,植物园,63,18,2000,"
69329","
2.13%"
坤阳国际商务广场,徐汇,徐家汇,62,54,1997,"
20225","
0.78%"
五洲国际大厦,徐汇,徐家汇,62,63,2000,"
14926","
1.43%"
徐汇御苑,徐汇,斜土路,62,32,2006,"
71209","
3.55%"
华泾四村,徐汇,华泾,61,2,2000,"
42104","
1.84%"
龙兆苑,徐汇,龙华,61,54,2003,"
83023","
0.56%"
同汇苑,徐汇,斜土路,61,14,2001,"
72188","
2.85%"
天然居,徐汇,植物园,61,28,2002,"
72081","
0.1%"
华龙新苑,徐汇,龙华,60,20,1994,"
64187","
5.37%"
锦汇苑,徐汇,徐家汇,60,21,1999,"
91826","
8.77%"
金轩公寓,徐汇,徐家汇,60,17,1998,"
80238","
2.59%"
橡胶小区,徐汇,徐家汇,60,37,2001,"
68390","
5.94%"
河滨国际公寓,徐汇,康健,58,24,2008,"
67265","
4.30%"
龙华西路81弄小区,徐汇,龙华,58,13,1998,"
56199","
9.96%"
玫瑰园,徐汇,康健,58,56,1994,"
88512","
1.62%"
霞飞别墅,徐汇,衡山路,58,78,2000,"
157902","
3.28%"
正南花苑,徐汇,上海南站,58,42,1998,"
68682","
1.77%"
福华花苑,徐汇,斜土路,57,7,2000,"
82698","
0.46%"
海波花苑,徐汇,徐汇滨江,57,57,1998,"
64272","
3.44%"
龙南三村,徐汇,徐汇滨江,57,37,1995,"
50247","
1.6%"
钦州公寓,徐汇,田林,57,27,1995,"
58004","
4.4%"
健安坊,徐汇,康健,55,15,1991,"
75624","
0.90%"
南宜花苑,徐汇,徐家汇,55,35,1995,"
88161","
3.79%"
上影广场商铺,徐汇,徐家汇,55,0,1998,"
14402","
0.01%"
华鼎大厦,徐汇,万体馆,54,47,2004,"
20473","
2.62%"
龙漕路66弄小区,徐汇,龙华,54,6,1998,"
59605","
7.07%"
梅陇五村,徐汇,华东理工,54,45,1990,"
51124","
0.79%"
东方曼哈顿尚东区,徐汇,徐家汇,53,118,2005,"
115329","
1.56%"
东安花苑,徐汇,徐汇滨江,52,26,2006,"
67975","
7.01%"
华建一街坊,徐汇,华泾,52,6,2000,"
43175","
0.25%"
紫竹园,徐汇,康健,52,84,1992,"
69601","
0.45%"
桂平小区,徐汇,康健,51,116,1996,"
62361","
0.27%"
仪表新村,徐汇,田林,51,10,1995,"
59295","
1.76%"
汇京佳丽苑,徐汇,上海南站,50,21,2005,"
74702","
3.3%"
汇成二村,徐汇,长桥,50,20,1995,"
60479","
3.16%"
江南裕德大厦,徐汇,万体馆,50,27,1997,"
75717","
5.72%"
梅陇九村,徐汇,华东理工,50,29,1996,"
51457","
0.02%"
泰德花苑,徐汇,万体馆,50,29,1999,"
77730","
6.66%"
吴中东路500弄小区,徐汇,徐家汇,50,16,2006,"
73634","
0.86%"
汇成三村,徐汇,长桥,49,30,1992,"
55442","
3.70%"
汇成桂苑,徐汇,斜土路,49,1,1999,"
63134","
4.03%"
明园世纪城,徐汇,建国西路,49,57,2006,"
93185","
0.55%"
旭辉朗香郡,徐汇,华泾,49,36,2011,"
70671","
2.37%"
阳光名邸,徐汇,徐家汇,49,21,2002,"
87214","
0.02%"
长青坊,徐汇,康健,48,51,1990,"
59666","
6.89%"
龙吴路11弄小区,徐汇,龙华,48,20,1998,"
71176","
18.54%"
青之杰花园,徐汇,徐家汇,48,37,2002,"
84092","
2.67%"
双峰小区,徐汇,龙华,48,16,1986,"
85705","
36.12%"
徐虹公寓,徐汇,万体馆,48,21,1997,"
58021","
2.14%"
东樱花园,徐汇,康健,47,48,1992,"
66132","
4.02%"
嘉善路169弄新里,徐汇,建国西路,47,18,1938,"
107313","
0.70%"
科汇公寓,徐汇,徐家汇,47,83,1991,"
94873","
8.52%"
明华苑,徐汇,徐家汇,47,16,2001,"
94257","
8.46%"
永嘉大楼,徐汇,建国西路,47,5,1993,"
95275","
1.25%"
汇龙花苑,徐汇,龙华,46,4,2005,"
76328","
4.54%"
嘉瑞花苑,徐汇,徐家汇,46,8,2001,"
102767","
4.30%"
康强坊,徐汇,康健,46,12,1993,"
68544","
3.96%"
康健公寓,徐汇,康健,46,11,2006,"
70827","
5.64%"
漓江山水花园,徐汇,华泾,46,27,2003,"
64848","
0.51%"
寿山坊,徐汇,康健,46,49,1989,"
59153","
9.14%"
田林七村,徐汇,田林,46,38,1991,"
56879","
4.13%"
东安四村,徐汇,斜土路,45,47,1975,"
66595","
6.12%"
宛南华侨新村,徐汇,徐家汇,45,9,1997,"
71395","
0.83%"
鑫城苑,徐汇,徐家汇,45,6,2001,"
70238","
0.83%"
永嘉路洋房,徐汇,建国西路,45,59,1938,"
123931","
7.3%"
中原新村,徐汇,徐家汇,45,45,2000,"
127051","
4.49%"
凯迪虹桥晶舍,徐汇,田林,44,5,2013,"
73197","
5.04%"
薛家宅小区,徐汇,康健,44,25,1993,"
72920","
1.74%"
阳光巴黎,徐汇,斜土路,44,12,2007,"
83464","
1.57%"
华理苑,徐汇,华东理工,43,59,1997,"
66569","
0.95%"
佳安公寓,徐汇,徐家汇,43,18,2000,"
64378","
3.15%"
科华公寓,徐汇,田林,43,6,2001,"
63566","
4.55%"
绿邑新苑,徐汇,龙华,43,3,2000,"
49458","
2.90%"
泰德苑,徐汇,徐家汇,43,23,1999,"
102458","
1.14%"
万象园,徐汇,康健,43,20,2004,"
83866","
0.03%"
襄阳南路新里,徐汇,建国西路,43,21,1990,"
115846","
3.66%"
漕溪三村,徐汇,万体馆,42,19,1992,"
75807","
5.55%"
长鑫大厦,徐汇,徐家汇,42,1,1998,"
26824","
0.16%"
番南小区,徐汇,徐家汇,42,15,1992,"
107184","
4.34%"
虹桥乐庭铂晶馆,徐汇,徐家汇,42,5,2005,"
97239","
23.42%"
丽锦小区,徐汇,田林,42,6,1997,"
60126","
7.46%"
欣嘉苑,徐汇,漕河泾,42,46,2002,"
62175","
5.57%"
云都新苑,徐汇,龙华,42,18,2003,"
70845","
2.54%"
华狮国际公寓,徐汇,徐家汇,41,37,2000,"
90241","
0.87%"
颐峰苑,徐汇,徐家汇,41,10,2005,"
77100","
3.68%"
漕溪一村,徐汇,万体馆,40,57,1980,"
63602","
7.02%"
佳信徐汇公寓,徐汇,龙华,40,11,1998,"
72150","
1.5%"
宜山路655弄小区,徐汇,田林,40,8,2000,"
47918","
2.71%"
龙华苑,徐汇,龙华,39,1,1995,"
55195","
1.27%"
宛南一村,徐汇,徐家汇,39,84,1992,"
75685","
12.46%"
宛南五村,徐汇,龙华,39,48,1990,"
70266","
5.6%"
裕德路66弄小区,徐汇,徐家汇,39,12,1992,"
109042","
1.81%"
长桥八村,徐汇,长桥,38,14,1996,"
56750","
3.11%"
东方巴黎,徐汇,建国西路,38,134,2000,"
86663","
5.25%"
和平小区,徐汇,华东理工,38,16,1997,"
59026","
3.02%"
金祥苑,徐汇,田林,38,22,2005,"
71526","
5.9%"
懿园,徐汇,建国西路,38,17,1941,"
135596","
0.42%"
誉仁家园,徐汇,龙华,38,1,2006,"
52287","
1.35%"
英雄大厦,徐汇,徐家汇,38,31,2006,"
27920","
3.13%"
紫藤苑(徐汇),徐汇,康健,38,47,2000,"
65714","
1.05%"
花苑村梅花园,徐汇,康健,37,22,1989,"
51748","
6.19%"
寿昌坊,徐汇,康健,37,21,1986,"
58336","
2.97%"
田林十三村,徐汇,田林,37,61,1994,"
77206","
3.97%"
田林九村,徐汇,田林,37,30,1991,"
71351","
3.66%"
徐汇御景苑,徐汇,龙华,37,16,2003,"
77807","
4.18%"
宜山路701弄小区,徐汇,田林,37,60,2001,"
68627","
1.92%"
叠加苑,徐汇,植物园,36,2,2002,"
54798","
6.05%"
豪门府邸,徐汇,康健,36,1,2002,"
53751","
1.46%"
康兴花园,徐汇,康健,36,72,1996,"
66483","
3.3%"
沙家浜小区,徐汇,华泾,36,30,2005,"
52351","
0.06%"
徐家汇景园,徐汇,徐家汇,36,15,2003,"
110015","
5.10%"
高安路100弄小区,徐汇,衡山路,35,10,1958,"
100889","
2.96%"
新汇公寓,徐汇,徐家汇,35,20,1999,"
66516","
5.04%"
徐汇新干线,徐汇,华泾,35,45,2007,"
63496","
2.56%"
宜山公安大楼,徐汇,田林,35,18,2003,"
70423","
6.32%"
中山新村,徐汇,斜土路,35,21,1993,"
83729","
2.93%"
巴洛克宫廷,徐汇,建国西路,34,9,1998,"
66550","
3.08%"
光启大楼,徐汇,漕河泾,34,11,2009,"
14703","
3.46%"
虹漕大楼,徐汇,徐家汇,34,43,1900,"
15647","
0.03%"
红旗教师公寓,徐汇,斜土路,34,19,2003,"
79337","
2.80%"
谨斜小区,徐汇,斜土路,34,55,1981,"
69805","
5.06%"
乐山六七村,徐汇,徐家汇,34,27,1990,"
85021","
2.05%"
气象苑,徐汇,龙华,34,20,1997,"
92214","
0.07%"
强生花苑二期,徐汇,龙华,34,11,2004,"
64420","
1.46%"
五原路洋房,徐汇,衡山路,34,60,2004,"
140056","
3.17%"
宜仕怡家,徐汇,万体馆,34,96,2001,"
82269","
0.77%"
乐山一村,徐汇,徐家汇,33,19,1992,"
69767","
5.19%"
龙南公寓,徐汇,徐汇滨江,33,1,1996,"
54067","
7.30%"
名人雅居沪贵苑,徐汇,徐家汇,33,6,1999,"
58402","
0.51%"
梅陇七村,徐汇,华东理工,33,47,1995,"
63656","
1.60%"
田林六村,徐汇,田林,33,24,1983,"
62800","
0.29%"
